"s"	"Torque"
0.34338000	36.041700
0.34437600	36.054834
0.34537200	36.012147
0.34636800	36.025281
0.34736400	35.995729
0.34836000	36.031849
0.34935600	36.002296
0.35035200	35.979310
0.35134800	35.972743
0.35234400	35.939907
0.35334000	35.956325
0.35433600	35.962892
0.35533200	35.939907
0.35632800	35.949758
0.35732400	35.962892
0.35832000	35.959609
0.35931600	35.946474
0.36031200	35.953041
0.36130800	35.949758
0.36230400	35.920205
0.36330000	35.916921
0.36429600	35.910354
0.36529200	35.903787
0.36628800	35.907070
0.36728400	35.930056
0.36828000	35.893936
0.36927600	35.880801
0.37027200	35.880801
0.37126800	35.884085
0.37226400	35.841397
0.37326000	35.828263
0.37425600	35.870950
0.37525200	35.847965
0.37624800	35.838114
0.37724400	35.880801
0.37824000	35.824979
0.37923600	35.815128
0.38023200	35.857815
0.38122800	35.821695
0.38222400	35.824979
0.38322000	35.815128
0.38421600	35.821695
0.38521200	35.834830
0.38620800	35.808561
0.38720400	35.795426
0.38820000	35.854532
0.38919600	35.834830
0.39019200	35.857815
0.39118800	35.821695
0.39218400	35.818412
0.39318000	35.864383
0.39417600	35.864383
0.39517200	35.864383
0.39616800	35.815128
0.39716400	35.838114
0.39816000	35.841397
0.39915600	35.824979
0.40015200	35.851248
0.40114800	35.838114
0.40214400	35.818412
0.40314000	35.811844
0.40413600	35.854532
0.40513200	35.861099
0.40612800	35.851248
0.40712400	35.861099
0.40812000	35.854532
0.40911600	35.847965
0.41011200	35.874234
0.41110800	35.874234
0.41210400	35.887368
0.41310000	35.874234
0.41409600	35.867666
0.41509200	35.887368
0.41608800	35.861099
0.41708400	35.874234
0.41808000	35.907070
0.41907600	35.844681
0.42007200	35.870950
0.42106800	35.864383
0.42206400	35.870950
0.42306000	35.867666
0.42405600	35.841397
0.42505200	35.854532
0.42604800	35.844681
0.42704400	35.847965
0.42804000	35.847965
0.42903600	35.841397
0.43003200	35.834830
0.43102800	35.824979
0.43202400	35.824979
0.43302000	35.808561
0.43401600	35.818412
0.43501200	35.815128
0.43600800	35.795426
0.43700400	35.805277
0.43800000	35.782292
0.43899600	35.775724
0.43999200	35.798710
0.44098800	35.782292
0.44198400	35.775724
0.44298000	35.762590
0.44397600	35.772441
0.44497200	35.765873
0.44596800	35.756022
0.44696400	35.756022
0.44796000	35.729753
0.44895600	35.739604
0.44995200	35.713335
0.45094800	35.716619
0.45194400	35.706768
0.45294000	35.683782
0.45393600	35.660797
0.45493200	35.647662
0.45592800	35.624677
0.45692400	35.621393
0.45792000	35.627960
0.45891600	35.598407
0.45991200	35.647662
0.46090800	35.608258
0.46190400	35.641095
0.46290000	35.601691
0.46389600	35.591840
0.46489200	35.552436
0.46588800	35.565571
0.46688400	35.575422
0.46788000	35.555720
0.46887600	35.552436
0.46987200	35.526167
0.47086800	35.529451
0.47186400	35.499898
0.47286000	35.496614
0.47385600	35.476913
0.47485200	35.440793
0.47584800	35.430942
0.47684400	35.401389
0.47784000	35.401389
0.47883600	35.394821
0.47983200	35.368552
0.48082800	35.355418
0.48182400	35.339000
0.48282000	35.335716
0.48381600	35.309447
0.48481200	35.325865
0.48580800	35.309447
0.48680400	35.276610
0.48780000	35.309447
0.48879600	35.276610
0.48979200	35.270043
0.49078800	35.270043
0.49178400	35.256908
0.49278000	35.256908
0.49377600	35.273327
0.49477200	35.250341
0.49576800	35.256908
0.49676400	35.230639
0.49776000	35.247057
0.49875600	35.227356
0.49975200	35.250341
0.50074800	35.237206
0.50174400	35.230639
0.50274000	35.217505
0.50373600	35.237206
0.50473200	35.207654
0.50572800	35.187952
0.50672400	35.201086
0.50772000	35.214221
0.50871600	35.178101
0.50971200	35.204370
0.51070800	35.201086
0.51170400	35.204370
0.51270000	35.217505
0.51369600	35.184668
0.51469200	35.184668
0.51568800	35.207654
0.51668400	35.171534
0.51768000	35.191235
0.51867600	35.197803
0.51967200	35.214221
0.52066800	35.214221
0.52166400	35.201086
0.52266000	35.210937
0.52365600	35.158399
0.52465200	35.161683
0.52564800	35.155115
0.52664400	35.158399
0.52764000	35.145264
0.52863600	35.161683
